1,ADA,NORMAN,MN,56510
2,ADAMS,MOWER,MN,55909
3,ADOLPH,SAINT LOUIS,MN,55701
4,ADRIAN,NOBLES,MN,56110
5,AFTON,WASHINGTON,MN,55001
6,AITKIN,AITKIN,MN,56431
7,AKELEY,HUBBARD,MN,56433
8,ALBANY,STEARNS,MN,56307
9,ALBERT LEA,FREEBORN,MN,56007
10,ALBERTA,STEVENS,MN,56207
11,ALBERTVILLE,WRIGHT,MN,55301
12,ALBORN,SAINT LOUIS,MN,55702
13,ALDEN,FREEBORN,MN,56009
14,ALDRICH,WADENA,MN,56434
15,ALEXANDRIA,DOUGLAS,MN,56308
16,ALMELUND,CHISAGO,MN,55002
17,ALPHA,JACKSON,MN,56111
18,ALTURA,WINONA,MN,55910
19,ALVARADO,MARSHALL,MN,56710
20,AMBOY,BLUE EARTH,MN,56010
21,ANDOVER,ANOKA,MN,55304
22,ANGLE INLET,LAKE OF THE WOODS,MN,56711
23,ANGORA,SAINT LOUIS,MN,55703
24,ANNANDALE,WRIGHT,MN,55302
25,ANOKA,ANOKA,MN,55303
26,APPLETON,SWIFT,MN,56208
27,ARCO,LINCOLN,MN,56113
28,ARGYLE,MARSHALL,MN,56713
29,ARLINGTON,SIBLEY,MN,55307
30,ASHBY,GRANT,MN,56309
31,ASKOV,PINE,MN,55704
32,ATWATER,KANDIYOHI,MN,56209
33,AUDUBON,BECKER,MN,56511
34,AURORA,SAINT LOUIS,MN,55705
35,AUSTIN,MOWER,MN,55912
36,AVOCA,MURRAY,MN,56114
37,AVON,STEARNS,MN,56310
38,BABBITT,SAINT LOUIS,MN,55706
39,BACKUS,CASS,MN,56435
40,BADGER,ROSEAU,MN,56714
41,BAGLEY,CLEARWATER,MN,56621
42,BALATON,LYON,MN,56115
43,BARNESVILLE,CLAY,MN,56514
44,BARNUM,CARLTON,MN,55707
45,BARRETT,GRANT,MN,56311
46,BARRY,BIG STONE,MN,56210
47,BATTLE LAKE,OTTER TAIL,MN,56515
48,BAUDETTE,LAKE OF THE WOODS,MN,56623
49,BAXTER,CROW WING,MN,56425
50,BAYPORT,WASHINGTON,MN,55003
51,BEARDSLEY,BIG STONE,MN,56211
52,BEAVER BAY,LAKE,MN,55601
53,BEAVER CREEK,ROCK,MN,56116
54,BECKER,SHERBURNE,MN,55308
55,BEJOU,MAHNOMEN,MN,56516
56,BELGRADE,STEARNS,MN,56312
57,BELLE PLAINE,SCOTT,MN,56011
58,BELLINGHAM,LAC QUI PARLE,MN,56212
59,BELTRAMI,POLK,MN,56517
60,BELVIEW,REDWOOD,MN,56214
61,BEMIDJI,BELTRAMI,MN,56601
62,BEMIDJI,BELTRAMI,MN,56619
63,BENA,CASS,MN,56626
64,BENEDICT,HUBBARD,MN,56436
